user_id,name,city,interests,moods,language,art_interests,genres
U0000,User_0,colombo,"['dance', 'music', 'drama']","['energetic', 'engaging']",english,"['dance', 'music', 'drama']","['political_theatre', 'rock']"
U0001,User_1,galle,"['dance', 'film', 'drama']","['energetic', 'engaging']",sinhala,"['dance', 'film', 'drama']","['comedy', 'fusion', 'immersive_theatre']"
U0002,User_2,kandy,['drama'],"['engaging', 'energetic']",sinhala,['drama'],"['historical', 'contemporary', 'sinhala_rap', 'tamil_classical', 'alternative_rock']"
U0003,User_3,jaffna,['music'],"['engaging', 'energetic']",english,['music'],"['sinhala_commercial', 'documentary', 'biographical']"
U0004,User_4,matara,['music'],"['engaging', 'energetic']",sinhala,['music'],"['sinhala_rap', 'baila', 'rock', 'film_songs']"
U0005,User_5,kurunegala,"['dance', 'drama', 'music']","['engaging', 'energetic']",sinhala,"['dance', 'drama', 'music']","['pop', 'ballads', 'baila']"
U0006,User_6,nuwara_eliya,"['drama', 'music', 'dance']","['energetic', 'engaging']",english,"['drama', 'music', 'dance']","['film_songs', 'kandyan_dance', 'social_drama', 'drama']"
U0007,User_7,badulla,['film'],"['energetic', 'engaging']",sinhala,['film'],"['immersive_theatre', 'kandyan_dance']"
U0008,User_8,gampaha,['drama'],"['engaging', 'energetic']",sinhala,['drama'],"['kandyan_dance', 'pop', 'hip_hop', 'comedy']"
U0009,User_9,colombo,"['film', 'dance', 'music']","['engaging', 'energetic']",english,"['film', 'dance', 'music']","['ballads', 'classical_semi_classical', 'historical', 'tamil_folk']"
U0010,User_10,galle,"['film', 'dance', 'drama']","['engaging', 'energetic']",sinhala,"['film', 'dance', 'drama']","['biography', 'comedy', 'rock', 'hip_hop']"
U0011,User_11,kandy,"['film', 'music', 'drama']","['engaging', 'energetic']",sinhala,"['film', 'music', 'drama']","['biography', 'fusion', 'folk']"
U0012,User_12,jaffna,['dance'],"['energetic', 'engaging']",english,['dance'],"['immersive_theatre', 'ballads', 'experimental', 'film_songs', 'fusion']"
U0013,User_13,matara,"['dance', 'film']","['energetic', 'engaging']",sinhala,"['dance', 'film']","['biographical', 'devotional_religious', 'family_drama', 'classical_ballet']"
U0014,User_14,kurunegala,"['dance', 'film']","['engaging', 'energetic']",sinhala,"['dance', 'film']","['tamil_classical', 'kandyan_dance']"
U0015,User_15,nuwara_eliya,"['drama', 'dance']","['energetic', 'engaging']",english,"['drama', 'dance']","['folk', 'alternative_rock', 'biographical', 'drama']"
U0016,User_16,badulla,"['drama', 'dance']","['energetic', 'engaging']",sinhala,"['drama', 'dance']","['social_drama', 'ballads', 'sinhala_commercial', 'hip_hop', 'biography']"
U0017,User_17,gampaha,['music'],"['energetic', 'engaging']",sinhala,['music'],"['classical_semi_classical', 'hip_hop', 'sinhala_commercial', 'rock', 'pop']"
U0018,User_18,colombo,['film'],"['engaging', 'energetic']",english,['film'],"['biographical', 'comedy', 'ballads', 'documentary', 'alternative_rock']"
U0019,User_19,galle,"['drama', 'film', 'dance']","['energetic', 'engaging']",sinhala,"['drama', 'film', 'dance']","['ballads', 'tamil_folk', 'baila']"
U0020,User_20,kandy,"['dance', 'film']","['engaging', 'energetic']",sinhala,"['dance', 'film']","['hip_hop', 'biography', 'rock']"
U0021,User_21,jaffna,"['music', 'dance', 'drama']","['energetic', 'engaging']",english,"['music', 'dance', 'drama']","['political_theatre', 'family_drama']"
U0022,User_22,matara,"['music', 'drama']","['energetic', 'engaging']",sinhala,"['music', 'drama']","['experimental', 'rock']"
U0023,User_23,kurunegala,"['dance', 'music']","['energetic', 'engaging']",sinhala,"['dance', 'music']","['family_drama', 'classical_ballet', 'contemporary']"
U0024,User_24,nuwara_eliya,"['drama', 'dance']","['energetic', 'engaging']",english,"['drama', 'dance']","['ballads', 'sinhala_commercial']"
U0025,User_25,badulla,['drama'],"['engaging', 'energetic']",sinhala,['drama'],"['tamil_classical', 'experimental', 'tamil_folk']"
U0026,User_26,gampaha,['drama'],"['energetic', 'engaging']",sinhala,['drama'],"['sinhala_rap', 'film_songs', 'devotional_religious', 'family_drama']"
U0027,User_27,colombo,"['music', 'dance', 'film']","['energetic', 'engaging']",english,"['music', 'dance', 'film']","['rock', 'documentary']"
